或	a1
花	a2
七	a3
式	aa1
工	aa2
戒	aa3
㠭	aaaa1
㐂	aaab1
菚	aaau2
匿	aad2
慝	aad3
匞	aadd2
䘌	aadj1
茙	aadu1
苷	aaf2
甙	aafd1
蘜	aafo1
䒰	aagf1
芽	aah1
䓉	aahb2
菣	aahc1
茞	aahj1
茝	aahj2
藍	aahl2
虦	aahm2
蕥	aahr1
䔈	aahu1
藖	aahu2
剗	aajh2
蓳	aakg2
蓲	aakk3
䕿	aako1
䖄	aako2
䕼	aakr1
䕚	aaku1
盞	aalf2
蘳	aamf2
蘣	aamg2
蒆	aamv3
茿	aamy1
苣	aan3
慝	aan4
葉	aans1
苉	aaqb1
蔕	aaqh1
匶	aarv1
荛	aat2
荛	aatq1
戔	aauu2
芅	aauu3
苆	aavr1
莁	aaww5
节	ab1
萨	ab2
巷	ab3
菡	abb2
菡	abbj1
藂	abcu1
菆	abcu2
䔺	abde1
荫	abe1
蘟	abei1
㲨	aben2
茸	abf1
芓	abff1
䔖	abft1
邛	abh2
匩	abhg1
䢼	abhh2
卭	abhh3
匜	abhv2
蒸	abi2
菡	abi3
荪	abi4
菡	abib1
䒱	abig1
䕄	abil1
荪	abiu1
蔯	abjs1
䓧	abkg1
藬	abku1
䓝	ablf1
茁	abm2
䔴	abmc1
䔜	abmf1
葼	abmt1
芤	abn1
蒸	abo1
菰	abr2
㧭	abrj1
菰	abry1
蓀	abti1
䕖	abtp1
蕯	abts1
芨	abu2
䔒	abuk1
薩	abus1
䔹	abuu1
蔭	abwc1
䕃	abwd1
蒢	abwi2
蘵	abxa1
芭	ac1
茎	ac2
茅	ac3
䒪	acaj2
匥	acak1
蔘	acce1
蓪	acep1
㦯	acgd1
蓟	acj1
苔	ack1
䕂	ackp1
葈	acku1
䓿	aclf1
荾	acmt1
薊	acoj1
蘚	acop2
蘇	acot1
䔍	acou2
䔡	acou3
藓	acp1
蓣	acs2
芧	acsj1
蓩	acsl1
鶜	acso1
葇	acss1
䓮	acst1
蕷	acsu1
苡	acu1
苡	acuu1
芆	acyu1
项	ad1
若	ad2
藏	ad3
莽	ada2
蕻	ada3
䒎	adac1
蔵	aday1
荐	adb1
苊	adb2
茇	adcu1
苃	adcu3
䔸	addd1
藞	addd2
弎	addd3
戎	ade1
葫	ade2
蓐	ade3
䔚	adee1
葫	adef1
蓐	adef2
萇	adeu1
莀	adeu2
苦	adf1
莾	adfa2
荂	adfn1
䓐	adgn1
茬	adh2
荐	adh3
荐	adhb1
葜	adhd1
䒠	adhj2
項	adhu2
蔧	adhv3
蕆	adhy1
蒧	adhy2
藕	adi1
藉	adi2
䒹	adiu2
藕	adj2
菴	adjn1
惹	adk1
鄀	adkb1
蠚	adkj1
䖃	adkk5
逽	adkp1
葴	adky1
萘	adl2
苈	adl3
萘	adlm1
苈	adlr1
䓴	admd1
荋	admj1
蒇	admy1
茂	adn1
荿	adny3
䕢	adpa1
荙	adpu2
蒝	adri1
䔪	adrr1
䓫	adsk2
䓓	adtf1
藶	adth2
蕨	adu2
芖	aduu1
蕨	aduw1
葳	adv2
蕼	advg1
葳	advy1
蓁	adw2
菶	adwh2
㥦	adwi2
萶	adwj1
莢	adww2
匧	adww3
㰼	adww4
茏	adx2
茏	adxb1
茏	adxu1
葢	adyl1
荗	adyy3
菜	ae1
散	ae2
藤	ae3
菔	aeb1
莩	aeb2
芞	aebb3
菔	aebc1
莩	aebf1
萉	aecb1
萾	aecl1
薍	aecn1
蕦	aedu1
蒯	aee2
萠	aeef1
蒯	aeej1
䔕	aeeu1
苴	aef2
苴	aeff1
䒴	aeff2
蒪	aefu1
