〇	〇,Ol
㐀	卝一,HGu
㐁	一囗人,GNUu
㐂	七七七,FFFq
㐃	人丅,UJu
㐄	㐄,Fu
㐅	乂,Ti
㐆	⺁彐,RBBu
㐇	九乙,RBij
㐈	入乙,VBir
㐉	丁乙,EBid
㐊	士乙,JBi
㐋	土乙,JBi
㐌	𠂉也,PBe
㐍	爫乙,VBi
㐎	文乙,YBiw
㐏	一𫝀乙,GDBi
㐐	女又乙,CDBi
㐑	夂⺀乙,VZBi
㐒	刀口乙,DOBd
㐓	丁口乙,EOBd
㐔	亠口乙,YOBi
㐕	由乙,KBio
㐖	士口乚,JOCu
㐗	耂匕乙,JVBi
㐘	米乙,XBim
㐙	一口䒑乙,GOXB
㐚	一𫝀口乙,GDOB
㐛	亻𠂇口乙,THOB
㐜	𬺰{四点}丶九,IXWR
㐝	扌勹口乙,FSOB
㐞	其乙,HBiq
㐟	非乙,LBif
㐠	爫子乚乙,VBCB
㐡	九而大,RGFj
㐢	氵爫子乙,ZVBB
㐣	广車乙,WJBg
㐤	九十八,RETj
㐥	金且力乙,VNCB
㐦	𦥑一手乙,UGRB
㐧	丶乛亅丿,WBBP
㐨	予予,BByy
㐩	キ丨キ丨,FKFK
㐪	亠屮丶,YAWu
㐫	亠乂凵,YTAu
㐬	亠厶𫶧,YAVu
㐭	亠囗口,YNOv
㐮	衣八𠀎,WTHy
㐯	亠口禾日,YORK
㐰	亻口,TOv
㐱	人彡,USs
㐲	亻大,TFd
㐳	亻兀,TGw
㐴	亻夕,TQx
㐵	亻一𬺰,TGIu
㐶	亻巳,TDs
㐷	亻马,TAm
㐸	亻欠,TQq
㐹	亻气,TPq
㐺	亻亻人,TTUu
㐻	亻冂人,TMUu
㐼	亻丿廾,TPHv
㐽	亻几乂,TQTi
㐾	亻一兀,TGGw
㐿	亻手,TRs
㑀	亻大丶,TFWu
㑁	亻屮凵,TAAu
㑂	亻一冂人,TGMU
㑃	亻幺力,TACl
㑄	亻母,TCm
㑅	亻𠂉上,TPLs
㑆	亻口儿,TOVe
㑇	亻⺈彐,TQBu
㑈	亻七小,TFCx
㑉	亻几歹,TQGd
㑊	亻亦,TYi
㑋	亻冂龷,TMHu
㑌	亻匚王,TFEv
㑍	亻耒,TIl
㑎	亻巛山,TCMv
㑏	亻宀寸,TWIc
㑐	亻上小,TLCx
㑑	亻自,TTz
㑒	人一口人,UGOU
㑓	亻厶𠂇又,TAHD
㑔	亻丆贝,TGMb
㑕	亻山夕,TMQx
㑖	亻亻口丨,TTOK
㑗	亻身,TTs
㑘	亻戈廾,TFHv
㑙	亻耳乚,THCu
㑚	亻キ阝,TBFB
㑛	亻木口,TIOv
㑜	亻扌⺁丅,TFRJ
㑝	亻王廾,TEHv
㑞	亻火廾,TXHv
㑟	亻亻工八,TTIT
㑠	亻〢又土,TLDJ
㑡	亻彐厶卩,TBAA
㑢	亻土厶刀,TJAD
㑣	亻木木,TIIv
㑤	亻艹田,THKt
㑥	亻日勹𰀪,TKSS
㑦	亻户犬,TZJq
㑧	亻禾子,TRBz
㑨	亻口矢,TOPi
㑩	亻罒夕,TMQx
㑪	亻文{介下}二,TYTE
㑫	亻人乛心,TUBR
㑬	亻女古,TCJg
㑭	亻田丌,TKHj
㑮	亻冖車,TQJc
㑯	亻頁,TGy
㑰	亻{互中}豕,TCGs
㑱	亻矛木,TBIv
㑲	亻十䒑十,TEXE
㑳	亻勹勹屮,TSSA
㑴	亻彐巾又,TBMD
㑵	亻疒矢,TWPi
㑶	亻气米,TPXm
㑷	亻厶匕匕,TAVV
㑸	亻古丁口,TJEO
㑹	人一由曰,UGKK
㑺	亻隹乃,TTAn
㑻	亻宀丿山,TWPM
㑼	亻田夂口,TKVO
㑽	亻⺌口土,TNOJ
㑾	亻{炙上}言,TSYv
㑿	亻巛日木,TCKI
㒀	亻亠冂古,TYMJ
㒁	亻囗䒑十,TNXE
㒂	亻艹耂日,THJK
㒃	亻弋二貝,TFEN
㒄	亻{炙上}犬灬,TSJS
㒅	亻衣夕夕,TWQQ
㒆	亻人口羽,TUOC
㒇	亻𠂉一灬,TPGS
㒈	亻乛耳攵,TBHP
㒉	亻⺌口木,TNOI
㒊	亻刀丿止,TDPL
㒋	亻其⺁丅,THRJ
㒌	亻火冖几,TXQQ
㒍	亻厶厶糸,TAAA
㒎	亻天非,TFLf
㒏	亻宀八⺀,TWTZ
㒐	亻⺮勹日,TPSK
㒑	亻匚氵隹,TFZT
㒒	亻〢羊八,TLXT
㒓	亻土羊辶,TJXZ
㒔	亻罒勹虫,TMSL
㒕	亻亠丿隹,TYPT
㒖	亻艹禺,THKy
㒗	亻艹厶土,THAJ
㒘	亻臣又立,TFDY
㒙	亻糹白巾,TAUM
㒚	亻爫彐心,TVBR
㒛	亻羽隹,TCTw
㒜	亻𦥑一八,TUGT
㒝	亻艹戊丶,THFW
㒞	亻山隹{雋下},TMTM
㒟	亻衣馬,TWEm
㒠	亻⺊非一,TLLG
㒡	亻爫丿糸,TVPA
㒢	亻人口冊,TUOM
㒣	亻广隹心,TWTR
㒤	亻耳耳耳,THHH
㒥	亻山口䒑,TMOX
㒦	亻田田土,TKKJ
㒧	亻亠厶隹,TYAT
㒨	亻𦥑大㔾,TUFB
㒩	亻{互中}虫虫,TCLL
㒪	人臣止豕,UFLG
㒫	一上儿,GLVe
㒬	一兀王,GGEv
㒭	口儿口儿,OVOV
㒮	一兀豕,GGGs
㒯	一干龷,NGEH
㒰	入工,VIgr
㒱	入夕,VQxr
㒲	入日,VKvr
㒳	冂丨入入,MKVV
㒴	入屮凵,VAAr
㒵	白八,UTub
㒶	八白,TUb
㒷	冂人一八,MUGT
㒸	䒑𧰨,XRu
㒹	十且且八,ENNT
㒺	冂䒑人乚,MXUC
㒻	冂二見,MENj
㒼	艹一入入,HGVV
㒽	冂二夫㔾,MEJB
㒾	冂二𠂉也,MEPB
㒿	冂二厶隹,MEAT
㓀	冖卜,QLb
㓁	冖八,QTu
㓂	冖一兀女,QGGC
㓃	冖言丿七,QYPF
㓄	厶厶儿,AAVi
㓅	冫丁,XEds
㓆	冫人匕,XUVs
㓇	冫夭,XRys
