的	〔白勹丶丶_rqyy〕
一	〔一一ЖЖ_ggll〕
是	〔日一龰⺀_jghu〕
在	〔𠂇丨土二_dhff〕
不	〔丆卜⺀_dhu〕
了	〔了乛亅Ж_bnhl〕
有	〔𠂇月二_def〕
和	〔禾口一_tkg〕
人	〔人人人人_wwww〕
这	〔文辶氵_ypi〕
中	〔口丨〣_khk〕
大	〔大大大大_dddd〕
上	〔⺊一三_hgd〕
为	〔丶力丶氵_yeyi〕
个	〔人丨〢_whj〕
过	〔寸辶氵_fpi〕
国	〔囗王丶氵_lgyi〕
我	〔丿扌丶_trxy〕
以	〔㇙丶人丶_nywy〕
地	〔土也𡿨_fbn〕
他	〔亻也𡿨_wbn〕
要	〔覀女二_svf〕
来	〔一米氵_goi〕
们	〔亻门𡿨_wun〕
时	〔日寸丶_jfy〕
到	〔一至刂丨_gcjh〕
生	〔丿龶三_tgd〕
用	〔月丨〣_ehk〕
作	〔亻𠂉丨二_wthf〕
就	〔小𠂇丶_yidy〕
出	〔凵山〣_bmk〕
于	〔一十〣_gfk〕
会	〔人二厶⺀_wfcu〕
对	〔又寸丶_cfy〕
分	〔八刀𰀪_wvr〕
成	〔戊㇆丶氵_dnyi〕
年	〔丨十〢_rhfj〕
可	〔丁口三_skd〕
同	〔冂一口三_mgkd〕
主	〔丶王三_ygd〕
也	〔也㇆丨乚_bnhn〕
发	〔又丶氵_ncyi〕
工	〔工工工工_aaaa〕
说	〔讠丷口儿_yukq〕
子	〔子子子子_bbbb〕
下	〔一卜氵_ghi〕
能	〔厶月匕匕_cexx〕
动	〔二厶力丿_fcet〕
行	〔彳一丁丨_tgsh〕
产	〔立丿彡_ute〕
而	〔丆𦉫〢_dmj〕
多	〔夕夕⺀_qqu〕
后	〔𠂋口三_rkd〕
方	〔亠勹𰀪_yqr〕
面	〔丆囬二_dlf〕
种	〔禾口丨丨_tkhh〕
学	〔𰃮子二_ibf〕
著	〔艹耂日二_afjf〕
着	〔䒑目二_ughf〕
得	〔彳日一寸_tjgf〕
定	〔宀一龰⺀_pghu〕
法	〔氵土厶丶_ifcy〕
民	〔𫠠巛_nav〕
所	〔𠂆斤丨_rnrh〕
经	〔纟工一_xcag〕
十	〔十一丨_fgh〕
三	〔三一一一_dggg〕
之	〔之之之之_pppp〕
进	〔二辶〣_fjpk〕
家	〔宀一𧰨⺀_pgeu〕
等	〔𥫗土寸⺀_tffu〕
部	〔立口阝丨_ukbh〕
里	〔日土三_jfd〕
都	〔耂日阝丨_fjbh〕
自	〔丿目三_thd〕
二	〔二一一_fgg〕
如	〔女口一_vkg〕
理	〔王日土一_gjfg〕
起	〔走己巛_hnv〕
力	〔力𠃌丿_ent〕
长	〔丿丶氵_tayi〕
化	〔亻𠤎𡿨_wxn〕
现	〔王冂𡿨_gmqn〕
小	〔小亅丿丶_ihty〕
度	〔广廿又氵_oaci〕
实	〔宀⺀大⺀_pudu〕
点	〔⺊口灬⺀_hkou〕
高	〔冂口二_ymkf〕
还	〔丆卜辶氵_dhpi〕
当	〔⺌彐二_ivf〕
电	〔日乚巛_jnv〕
加	〔力口一_ekg〕
两	〔一冂人人_gmww〕
从	〔人人丶_wwy〕
去	〔土厶⺀_fcu〕
物	〔牜勹𰀪丿_tqrt〕
把	〔扌巴𡿨_rcn〕
本	〔木一三_sgd〕
好	〔女子一_vbg〕
水	〔水水水水_iiii〕
制	〔冂丨刂_rmhj〕
体	〔亻木一一_wsgg〕
开	〔一廾〣_gak〕
业	〔一三_ogd〕
重	〔丿一日土_tgjf〕
使	〔亻一口乂_wgkr〕
天	〔一大氵_gdi〕
然	〔犬灬⺀_qdou〕
些	〔止匕二二_hxff〕
量	〔日一日土_jgjf〕
前	〔䒑刖〢_uej〕
四	〔四丨𠃍一_lhng〕
那	〔𠃌阝丨_ngbh〕
外	〔夕卜丶_qhy〕
事	〔一口彐亅_gkvh〕
它	〔宀匕巜_pxb〕
名	〔夕口二_qkf〕
合	〔口二_wkf〕
因	〔囗大氵_ldi〕
应	〔广三_oid〕
由	〔冂土三_mfd〕
其	〔八⺀_dwu〕
日	〔日日日日_jjjj〕
性	〔忄生一_ntg〕
社	〔礻土一_pfg〕
义	〔丶乂氵_yri〕
全	〔人王二_wgf〕
样	〔木䒑𰀁丨_sugh〕
政	〔一止攵丶_ghty〕
表	〔龶𧘇⺀_geu〕
机	〔木几𡿨_swn〕
关	〔䒑大⺀_udu〕
新	〔立木斤丨_usrh〕
平	〔一丷十〣_gufk〕
各	〔夂口二_tkf〕
相	〔木目一_shg〕
间	〔门日三_ujd〕
心	〔心丶乚丶_nyny〕
正	〔一止三_ghd〕
与	〔一ㄅ一三_gngd〕
西	〔兀囗三_gld〕
形	〔一廾彡丿_gaet〕
反	〔𠂆又氵_rci〕
看	〔龵目二_rhf〕
明	〔日月一_jeg〕
又	〔又又又又_cccc〕
么	〔丿厶⺀_tcu〕
内	〔冂人氵_mwi〕
你	〔亻⺈小丶_wqiy〕
但	〔亻日一一_wjgg〕
利	〔禾刂丨_tjh〕
道	〔䒑丿目辶_uthp〕
原	〔厂白小氵_drii〕
没	〔氵几又丶_iwcy〕
第	〔𥫗弓丨丿_txht〕
比	〔匕𡿨_xxn〕
命	〔口卩〢_wkbj〕
数	〔米女攵丶_ovty〕
只	〔口八⺀_kwu〕
线	〔纟二丶_xfxy〕
向	〔丿冂口三_tmkd〕
问	〔门口三_ukd〕
意	〔立日心⺀_ujnu〕
站	〔立⺊口一_uhkg〕
此	〔止匕𡿨_hxn〕
或	〔戈口一氵_akgi〕
条	〔夂木⺀_tsu〕
无	〔二巛_fqv〕
公	〔八厶⺀_wcu〕
质	〔𠂆十贝氵_rfmi〕
结	〔纟士口一_xfkg〕
解	〔⺈用刀牛_qevr〕
情	〔忄龶月一_ngeg〕
建	〔彐𰀁廴〣_vgpk〕
月	〔月月月月_eeee〕
想	〔木目心⺀_shnu〕
很	〔彳艮丶_tvy〕
变	〔亠又⺀_yocu〕
者	〔耂日二_fjf〕
代	〔亻𫠠丶丶_wayy〕
已	〔已㇆一乚_nngn〕
立	〔立立立立_uuuu〕
系	〔丿幺小⺀_txiu〕
军	〔冖车〢_plj〕
最	〔日耳又⺀_jbcu〕
并	〔䒑廾〢_uaj〕
提	〔扌日一龰_rjgh〕
党	〔口儿巜_ikqb〕
题	〔日一龰贝_jghm〕
气	〔⺄巜_rnb〕
五	〔五一丨一_gghg〕
展	〔尸龷氵_naei〕
象	〔⺈口𧰨⺀_qkeu〕
文	〔文丶一丶_yygy〕
通	〔龴用辶〣_cepk〕
总	〔丷口心⺀_uknu〕
果	〔日木氵_jsi〕
次	〔冫⺈人丶_uqwy〕
员	〔口贝⺀_kmu〕
革	〔廿〢_akj〕
活	〔氵丿古一_itdg〕
程	〔禾口王一_tkgg〕
常	〔口冂丨_ikmh〕
头	〔⺀大⺀_udu〕
位	〔亻立一_wug〕
老	〔耂匕巜_fxb〕
直	〔十二_fhf〕
入	〔丿丶氵_tyi〕
特	〔牜土寸丶_tffy〕
品	〔口口口二_kkkf〕
件	〔亻牛丨_wrh〕
山	〔山山山山_mmmm〕
见	〔冂巜_mqb〕
路	〔𧾷夂口一_ltkg〕
求	〔一氺丶氵_giyi〕
管	〔𥫗宀丨㠯_tphn〕
及	〔乃丶氵_byi〕
级	〔纟乃丶丶_xbyy〕
少	〔小丿彡_ite〕
基	〔八土二_dwff〕
别	〔口力刂丨_kejh〕
设	〔讠几又丶_ywcy〕
式	〔𫠠工丶氵_aayi〕
资	〔冫⺈人贝_uqwm〕
知	〔𠂉大口一_tdkg〕
组	〔纟月一一_xegg〕
几	〔几丿⺄_wtn〕
手	〔手丿一亅_rtgh〕
论	〔讠人匕𡿨_ywxn〕
统	〔纟亠厶儿_xycq〕
接	〔扌立女一_ruvg〕
农	〔冖𧘇氵_pei〕
被	〔衤皮丶_pby〕
边	〔力辶彡_epe〕
指	〔扌匕日一_rxjg〕
将	〔丬夕寸丶_uqfy〕
料	〔米⺀十丨_oufh〕
九	〔九丿乙_vtn〕
决	〔冫人丶_unwy〕
先	〔⺧儿巜_eqb〕
根	〔木艮丶_svy〕
期	〔八月一_dweg〕
计	〔讠十丨_yfh〕
强	〔弓口虫丶_xkjy〕
干	〔二丨〣_fhk〕
战	〔⺊口戈丶_hkay〕
回	〔囗口三_lkd〕
放	〔方攵丶_yty〕
她	〔女也𡿨_vbn〕
给	〔纟口一_xwkg〕
任	〔亻丿士一_wtfg〕
运	〔二厶辶氵_fcpi〕
做	〔亻古攵丶_wdty〕
必	〔心丿氵_nti〕
流	〔氵亠厶_iyck〕
区	〔匚乂氵_ari〕
取	〔耳又丶_bcy〕
门	〔门丶丨𠃌_uyhn〕
处	〔夂卜氵_thi〕
据	〔扌尸古一_rndg〕
南	〔十〢_fmj〕
则	〔贝刂丨_mjh〕
队	〔阝人丶_bwy〕
图	〔囗夂⺀氵_ltui〕
北	〔匕𡿨_uxn〕
百	〔丆日二_djf〕
光	〔⺌兀巜_igb〕
治	〔氵厶口一_ickg〕
东	〔小氵_aii〕
保	〔亻口木丶_wksy〕
志	〔士心⺀_fnu〕
较	〔六乂丶_lury〕
领	〔人丆贝_wpdm〕
海	〔氵𠂉母丶_itxy〕
口	〔口口口口_kkkk〕
七	〔七一乚_agn〕
导	〔巳寸⺀_nfu〕
调	〔讠⺆土口_ymfk〕
即	〔卩丨_vbh〕
什	〔亻十丨_wfh〕
造	〔⺧口辶三_ekpd〕
金	〔金金金金_qqqq〕
吃	〔口𠂉乙𡿨_ktnn〕
规	〔二人冂_fwmq〕
争	〔⺈彐亅〢_qvhj〕
思	〔田心⺀_lnu〕
世	〔廿ㄥ巛_anv〕
共	〔龷八⺀_awu〕
六	〔六丶一丶_uygy〕
认	〔讠人丶_ywy〕
交	〔六乂⺀_uru〕
受	〔爫冖又⺀_epcu〕
阶	〔阝人丨_bwjh〕
色	〔⺈巴巜_qcb〕
联	〔耳䒑大丶_budy〕
极	〔木乃丶丶_sbyy〕
美	〔丷王大⺀_ugdu〕
济	〔氵文丨_iyjh〕
更	〔一日乂氵_gjri〕
打	〔扌丁丨_rsh〕
改	〔己攵丶_nty〕
再	〔一冂土三_gmfd〕
增	〔土丷日_fulj〕
收	〔ㄥ丨攵丶_nhty〕
清	〔氵龶月一_igeg〕
切	〔刀丿_avt〕
真	〔十八⺀_fhwu〕
教	〔耂子攵丶_fbty〕
场	〔土𠄎𰀪丿_fbrt〕
权	〔木又丶_scy〕
安	〔宀女二_pvf〕
万	〔一勹彡_gqe〕
术	〔木丶氵_syi〕
证	〔讠一止一_yghg〕
身	〔丿冂三丿_tmdt〕
务	〔夂力𰀪_ter〕
走	〔土龰⺀_fhu〕
带	〔冖冂丨_gpmh〕
斗	〔⺀十〣_ufk〕
角	〔⺈用〢_qej〕
单	〔丷〢_ulj〕
花	〔艹亻𠤎巜_awxb〕
目	〔目目目目_hhhh〕
完	〔宀二儿巜_pfqb〕
声	〔士𠃜𰀪_fnr〕
热	〔扌丸灬⺀_rvou〕
报	〔扌ㄗ又丶_rbcy〕
八	〔八丿丶_wty〕
白	〔白白白白_rrrr〕
才	〔十丿彡_fte〕
具	〔八⺀_hwu〕
至	〔一至二_gcf〕
张	〔弓丿丶_xtay〕
马	〔一三_cgd〕
每	〔𠂉母⺀_txu〕
话	〔讠丿古一_ytdg〕
达	〔大辶氵_dpi〕
转	〔二ㄅ丶_lfny〕
议	〔讠丶乂丶_yyry〕
科	〔禾⺀十丨_tufh〕
器	〔口口犬口_kkdk〕
示	〔二小⺀_fiu〕
确	〔石⺈用丨_dqeh〕
许	〔讠𠂉十丨_ytfh〕
今	〔人𪜊巜_wnb〕
例	〔亻一夕刂_wgqj〕
集	〔亻木⺀_wysu〕
信	〔亻言一_wyg〕
记	〔讠己𡿨_ynn〕
积	〔禾口八丶_tkwy〕
群	〔尹口䒑𰀁_vkug〕
步	〔止𣥂𰀪_hhr〕
整	〔木口攵止_skth〕
广	〔广丶一丿_oygt〕
风	〔几乂氵_wri〕
传	〔亻二ㄅ丶_wfny〕
界	〔田人〢_lwjj〕
华	〔亻𠤎十〢_wxfj〕
且	〔月一三_egd〕
元	〔二儿巜_fqb〕
离	〔亠乂凵厶_yrbc〕
压	〔厂土丶氵_dfyi〕
研	〔石一廾丨_dgah〕
究	〔九巜_pvb〕
况	〔冫口儿𡿨_ukqn〕
书	〔㇆𠃌丨丶_nnhy〕
拉	〔扌立一_rug〕
类	〔米大⺀_odu〕
节	〔艹卩〢_abj〕
采	〔爫木⺀_esu〕
观	〔又冂𡿨_cmqn〕
越	〔走丶_haxy〕
众	〔人人人⺀_wwwu〕
持	〔扌土寸丶_rffy〕
叫	〔口ㄥ丨丨_knhh〕
油	〔氵冂土一_imfg〕
速	〔木口辶氵_skpi〕
织	〔纟口八丶_xkwy〕
林	〔木木丶_ssy〕
段	〔亻三几又_wdwc〕
难	〔又亻一_cwyg〕
需	〔雨丆𦉫〢_fdmj〕
非	〔丨三丨三_hdhd〕
复	〔𠂉日夂⺀_tjtu〕
儿	〔儿丿乚_qtn〕
律	〔彳彐𰀁丨_tvgh〕
布	〔𠂇冂丨〢_dmhj〕
际	〔阝二小丶_bfiy〕
连	〔车辶〣_lpk〕
算	〔𥫗目廾〢_thaj〕
深	〔氵㓁木丶_ipsy〕
容	〔人口二_pwkf〕
千	〔丿十〣_tfk〕
近	〔斤辶〣_rpk〕
周	〔⺆土口三_mfkd〕
影	〔日小彡_jyie〕
断	〔米ㄥ斤丨_onrh〕
己	〔己㇆一乚_nngn〕
办	〔力八氵_ewi〕
须	〔彡丆贝丶_edmy〕
商	〔冂八口_umwk〕
石	〔丆口二_dkf〕
青	〔龶月二_gef〕
米	〔米丶丿丶_oyty〕
便	〔亻一日乂_wgjr〕
感	〔戊一口心_dgkn〕
省	〔少目二_ihf〕
支	〔十又⺀_fcu〕
何	〔亻丁口一_wskg〕
团	〔囗十丿彡_lfte〕
验	〔马一_cwig〕
半	〔丷𰀁〣_ugk〕
往	〔彳丶王一_tygg〕
约	〔纟勹丶丶_xqyy〕
太	〔大丶氵_dyi〕
克	〔古儿巜_dqb〕
劳	〔艹冖力𰀪_aper〕
历	〔厂力彡_dee〕
备	〔夂田二_tlf〕
列	〔一夕刂丨_gqjh〕
低	〔亻𫠠丶_wqay〕
委	〔禾女二_tvf〕
市	〔亠冂丨〢_ymhj〕
史	〔口乂氵_kri〕
响	〔口丿冂口_ktmk〕
准	〔冫亻一_uwyg〕
精	〔米龶月一_ogeg〕
习	〔𠃌冫三_nud〕
消	〔氵⺌月一_iieg〕
写	〔冖一ㄅ一_pgng〕
候	〔亻丨大_whnd〕
土	〔土土土土_ffff〕
称	〔禾⺈小丶_tqiy〕
技	〔扌十又丶_rfcy〕
空	〔工二_paf〕
府	〔广亻寸氵_owfi〕
亲	〔立木⺀_usu〕
毛	〔丿二乚巛_tfnv〕
温	〔氵日皿一_ijlg〕
率	〔亠幺十_yxif〕
院	〔阝宀二儿_bpfq〕
划	〔戈刂丨_ajh〕
装	〔丬士亠𧘇_ufye〕
存	〔𠂇丨子二_dhbf〕
眼	〔目艮丶_hvy〕
快	〔忄人丶_nnwy〕
标	〔木二小丶_sfiy〕
值	〔亻十一_wfhg〕
族	〔方𠂉𠂉大_yttd〕
王	〔王王王王_gggg〕
查	〔木日一二_sjgf〕
江	〔氵工一_iag〕
斯	〔八斤丨_dwrh〕
素	〔龶幺小⺀_gxiu〕
