以	a1
软	aa1
矗	aaa1
劦	aaa2
虤	aaaa4
劦	aaac2
姭	aaad1
矗	aaag1
脅	aaao2
勰	aaaq1
虝	aac2
虝	aack2
蹭	aae2
蹭	aaeh1
瘋	aaeu1
疯	aah1
疯	aaho1
瘅	aahy1
蹨	aaj2
蹨	aajw1
虏	aak1
跏	aakh1
痥	aaks2
瘸	aaku1
痂	aaky1
跘	aal2
跘	aalj1
虎	aam1
癫	aan2
瘨	aan4
蹎	aanl1
癲	aanm1
瘨	aano1
癫	aanw1
疫	aao1
虪	aaoi1
疫	aaoo1
彪	aap2
彪	aapk1
瘵	aaq2
瘵	aaqo1
软	aas1
跺	aas2
甝	aas3
甝	aash1
跺	aasl1
覤	aat2
覤	aats1
蹲	aaw1
躆	aaw2
躆	aawl1
躑	aawp2
蹲	aawu1
虥	aax2
虥	aaxx1
跰	aay2
瘧	aayf2
跰	aayj1
将	ab1
瘶	aba2
蹏	abaa1
瘶	abao1
跢	abb2
跢	abbl2
痑	abbo1
癞	abc2
癩	abcm1
癞	abcw1
痤	abd2
痤	abdy1
轩	abf2
踨	abf3
踨	abfl1
癍	abi2
疓	abi3
癍	abib1
践	abl2
踈	abl3
瘷	ablo2
瘌	abm2
瘌	abmu1
奖	abn1
奖	abno1
痄	abo2
疭	abo3
痄	aboy1
桨	abs2
跥	abs3
跥	absl1
桨	abso1
将	abu1
将	abuo1
螀	abuu1
酱	abw1
酱	abwy1
浆	abx1
浆	abxo1
踬	aby2
踲	abyt1
踬	abyw1
跑	ac2
疱	acb1
辚	acbf1
蹸	acbf2
跑	acbm1
疱	acbp1
踘	acc2
躡	accc1
踼	acck1
瘍	acck2
踘	accl2
瘘	acd2
瘘	acdy1
痪	acg2
痪	acgu1
痻	ach1
痻	achy1
疚	aci2
疷	aci3
疚	acio1
疷	acio2
跔	ack2
跔	ackh1
痀	acky1
跪	acl1
跪	aclc1
癚	aclu1
蹑	aco2
踙	aco3
踙	acol1
瘈	acon1
蹑	acoo1
瘛	acoq1
疧	acp2
凧	acr2
瘗	acu2
瘗	acud2
辄	acv1
踂	acv2
辄	acva1
踂	acvm1
瘓	acw2
瘓	acwn2
踭	acx2
踭	acxj1
疸	acy2
妆	ad1
凰	adb1
凰	adbt1
痰	add1
癆	adda1
跬	addh1
痰	addo1
蹺	adds1
躒	adg1
躒	adgs1
踵	adh1
踵	adhd1
瘇	adhd2
辕	adk1
躂	adks1
辕	adky1
踋	adl2
踋	adln1
爒	adn2
踛	adnd1
爒	adng2
踜	adnm1
疢	ado1
蹛	adr1
蹛	adrc1
躈	adrl1
頯	adrm1
瘣	ads2
瘣	adsl1
痔	adu1
跱	adu2
跱	adul1
痔	aduo1
炙	adw1
妆	ady1
几	ae1
蹯	aec2
蹯	aeco1
跌	aee1
跌	aeel1
轶	aees1
曾	aeh1
甑	aehi1
朆	aehk1
鄫	aehp1
曾	aehy1
踽	aek2
踽	aeke1
趺	ael2
跋	aeo1
痏	aeo2
跋	aeoi1
痏	aeoy1
痫	aes2
痫	aeso1
瘪	aet2
癟	aetm1
瘪	aetn1
瘜	aetq1
風	aeu2
颮	aeub1
颳	aeub2
颷	aeud1
飈	aeud2
颫	aeue3
飋	aeue4
颴	aeuf1
飉	aeug1
颰	aeui1
飇	aeuj2
颱	aeuk1
颺	aeuk2
颲	aeum1
颭	aeum2
颶	aeun1
飀	aeuo1
飅	aeuo2
颵	aeuo3
颼	aeuo4
颬	aeuo5
颩	aeup1
飂	aeup2
飃	aeuq1
颸	aeuq2
颾	aeuu1
飍	aeuu2
颹	aeuv1
風	aeuw1
几	aev1
欠	aev2
疺	aev3
欠	aevi1
疺	aevo1
夙	aew2
症	aey1
车	af1
蹡	afau1
痮	afe2
痮	afeo4
虧	affr2
雐	afh2
踓	afh3
癋	afhq2
凬	afht2
瘂	afhy2
直	afj2
直	afjf1
	afjj1
躎	afnm1
癅	afo2
癅	afoy1
痍	afp2
疜	afp3
疜	afpo1
痍	afpu3
跠	afpu4
蹧	afq2
蹧	afqh1
痖	afr2
鳳	afr3
疞	afrp1
鳳	afrw3
痖	afry1
踕	afu2
踕	afuf1
车	afv1
匸	afv2
车	afvj1
癄	afw2
躧	afwm2
癄	afwo2
痙	afxh1
踁	afxh2
痧	afy2
痽	afy3
痧	afyi2
跟	ag1
瘢	aga2
瘢	agao1
踇	agb2
踇	agbl1
痗	agbo1
躌	agd2
躌	agdf1
雗	agf2
雗	agfg1
轾	agg1
躖	aggf1
躍	aggf2
瘳	aggp1
蹘	aggp2
跖	agh1
跮	agh2
跟	agl1
痕	ago1
踃	ago2
踃	agoh1
痟	agoy1
癔	agq2
癔	agqo1
蹄	agr1
鶾	agr2
蹄	agrc1
鶾	agrs1
辀	ags2
蹆	agsl1
趹	agu2
趹	agul1
疦	aguo1
疙	agv2
趷	agv3
乾	agva1
趷	agvm1
疙	agvp1
蹢	agw2
蹢	agwr1
瘴	agy1
痓	agy2
瘖	agy3
瘴	agyu1
风	ah1
瘡	ahb2
瘡	ahbk2
蹌	ahbk3
踢	ahc1
飑	ahcb1
踢	ahck1
痬	ahck4
堑	ahd1
飚	ahdd1
